Project: UFH Alice Campus - Finance Offices Conversion (ADAPTIVE),,,,,,,,,,
Project Number: UFH-FINANCE-2026-ADAPTIVE,,,,,,,,,,
Date: 2026-01-08 22:28:59,,,,,,,,,,
Software: DELLQS-AI,,,,,,,,,,
,,,,,,,,,,
Item Number,Section,Subsection,Description,Unit,Quantity,Rate,Amount,Calculation Notes,Reference Drawing,Measurement Rule
4.1.1,BILL 4 - EARTHWORKS,4.1 SITE CLEARANCE,"Clear site of vegetation, grass and weeds",m2,250.0,0.0,0.0,,,ASAQS SSM7 / DQRules
4.2.1,BILL 4 - EARTHWORKS,4.2 EXCAVATION,"Excavation to reduce levels for surface bed formation, maximum depth not exceeding 2.00m, in earth",m3,65.0,0.0,0.0,Verified from adaptive structural drawings +4,,ASAQS SSM7 / DQRules
4.2.2,BILL 4 - EARTHWORKS,4.2 EXCAVATION,"Excavation for strip foundations 600mm wide x 700mm deep, maximum depth not exceeding 2.00m, in earth",m3,48.0,0.0,0.0,Verified from foundation layout +3,,ASAQS SSM7 / DQRules
4.2.3,BILL 4 - EARTHWORKS,4.2 EXCAVATION,"Excavation to reduce levels for external paving layerworks, maximum depth not exceeding 500mm, in earth",m3,34.0,0.0,0.0,,,ASAQS SSM7 / DQRules
4.3.1,BILL 4 - EARTHWORKS,4.3 DISPOSAL,"Disposal of excavated material off site, including loading and carting away",m3,147.0,0.0,0.0,Increased from 140 to 147,,ASAQS SSM7 / DQRules
4.4.1,BILL 4 - EARTHWORKS,4.4 FILLING - INTERNAL,"Filling to make up levels under surface beds with approved crushed stone or G5 material, compacted in layers not exceeding 150mm, average thickness 150mm",m3,30.0,0.0,0.0,,,ASAQS SSM7 / DQRules
4.4.2,BILL 4 - EARTHWORKS,4.4 FILLING - INTERNAL,"Sand blinding over hardcore filling, 50mm thick, levelled and compacted to receive DPM",m2,198.0,0.0,0.0,Verified from surface bed layout +12,,ASAQS SSM7 / DQRules
4.5.1,BILL 4 - EARTHWORKS,4.5 FILLING - EXTERNAL PAVING,150mm thick G7 filling compacted to 93% Mod AASHTO density (heavy duty paving areas only),m3,4.0,0.0,0.0,,,ASAQS SSM7 / DQRules
4.5.2,BILL 4 - EARTHWORKS,4.5 FILLING - EXTERNAL PAVING,150mm thick G5 crusher run sub-base compacted to 98% Mod AASHTO density,m3,19.0,0.0,0.0,,,ASAQS SSM7 / DQRules
4.5.3,BILL 4 - EARTHWORKS,4.5 FILLING - EXTERNAL PAVING,"25mm thick sand bedding to paving, levelled and screeded",m2,128.0,0.0,0.0,,,ASAQS SSM7 / DQRules
4.6.1,BILL 4 - EARTHWORKS,4.6 COMPACTION,Compaction of formation to receive filling under surface beds,m2,198.0,0.0,0.0,,,ASAQS SSM7 / DQRules
4.6.2,BILL 4 - EARTHWORKS,4.6 COMPACTION,Compaction of insitu subgrade to 90% Mod AASHTO for external paving,m2,128.0,0.0,0.0,,,ASAQS SSM7 / DQRules
4.7.1,BILL 4 - EARTHWORKS,4.7 SUNDRIES,"Keep excavations free of water during construction including pumping, temporary drainage and all associated works",Item,1.0,0.0,0.0,,,ASAQS SSM7 / DQRules
4.7.2,BILL 4 - EARTHWORKS,4.7 SUNDRIES,Provisional Sum for dewatering if extensive pumping required,P.Sum,15000.0,0.0,0.0,,,ASAQS SSM7 / DQRules
7.1.1,"BILL 7 - CONCRETE, FORMWORK & REINFORCEMENT",7.1 CONCRETE,"Blinding concrete, 15MPa/19mm, 50mm thick under foundations",m3,4.0,0.0,0.0,,,ASAQS SSM7 / DQRules
7.1.2,"BILL 7 - CONCRETE, FORMWORK & REINFORCEMENT",7.1 CONCRETE,"Reinforced concrete, 25MPa/26mm, in strip foundations 600mm wide x 700mm deep",m3,48.0,0.0,0.0,Verified +3 from structural drawings,,ASAQS SSM7 / DQRules
7.1.3,"BILL 7 - CONCRETE, FORMWORK & REINFORCEMENT",7.1 CONCRETE,"Reinforced concrete, 25MPa/19mm, in ring beams RB1 (350x450mm) to SANS 1200 G",m3,12.0,0.0,0.0,,,ASAQS SSM7 / DQRules
7.1.4,"BILL 7 - CONCRETE, FORMWORK & REINFORCEMENT",7.1 CONCRETE,"Reinforced concrete, 25MPa/19mm, in ring beams RB2 (250x250mm) to SANS 1200 G",m3,3.0,0.0,0.0,,,ASAQS SSM7 / DQRules
7.1.5,"BILL 7 - CONCRETE, FORMWORK & REINFORCEMENT",7.1 CONCRETE,"Reinforced concrete, 30MPa/19mm, in surface beds 125mm thick, power floated finish",m3,25.0,0.0,0.0,,,ASAQS SSM7 / DQRules
7.1.6,"BILL 7 - CONCRETE, FORMWORK & REINFORCEMENT",7.1 CONCRETE,"Reinforced concrete, 25MPa/19mm, in columns to SANS 1200 G as per Structural Engineer's details",m3,2.0,0.0,0.0,NEW - identified from adaptive sections,,ASAQS SSM7 / DQRules
7.1.7,"BILL 7 - CONCRETE, FORMWORK & REINFORCEMENT",7.1 CONCRETE,"Reinforced concrete, 25MPa/19mm, in canopy slab and beam (Provisional)",m3,1.0,0.0,0.0,,,ASAQS SSM7 / DQRules
7.2.1,"BILL 7 - CONCRETE, FORMWORK & REINFORCEMENT",7.2 FORMWORK,"Formwork, rough, to sides of strip foundations",m2,160.0,0.0,0.0,,,ASAQS SSM7 / DQRules
7.2.2,"BILL 7 - CONCRETE, FORMWORK & REINFORCEMENT",7.2 FORMWORK,"Formwork, smooth (Class F2), to sides and soffits of ring beams",m2,122.0,0.0,0.0,,,ASAQS SSM7 / DQRules
7.2.3,"BILL 7 - CONCRETE, FORMWORK & REINFORCEMENT",7.2 FORMWORK,"Formwork, smooth, to edges of surface beds 125mm deep",m,115.0,0.0,0.0,,,ASAQS SSM7 / DQRules
7.2.4,"BILL 7 - CONCRETE, FORMWORK & REINFORCEMENT",7.2 FORMWORK,"Formwork, smooth, to columns",m2,18.0,0.0,0.0,NEW - for new column concrete,,ASAQS SSM7 / DQRules
7.2.5,"BILL 7 - CONCRETE, FORMWORK & REINFORCEMENT",7.2 FORMWORK,"Formwork, smooth, to canopy slab and beam (Provisional)",m2,8.0,0.0,0.0,,,ASAQS SSM7 / DQRules
7.3.1,"BILL 7 - CONCRETE, FORMWORK & REINFORCEMENT",7.3 REINFORCEMENT,"High tensile reinforcement to BS4449, including cutting, bending, fixing with spacers and tying wire",t,5.8,0.0,0.0,+0.5t for columns,,ASAQS SSM7 / DQRules
7.3.2,"BILL 7 - CONCRETE, FORMWORK & REINFORCEMENT",7.3 REINFORCEMENT,"Welded steel fabric reinforcement Ref 193, including laps",m2,198.0,0.0,0.0,,,ASAQS SSM7 / DQRules
7.4.1,"BILL 7 - CONCRETE, FORMWORK & REINFORCEMENT",7.4 SUNDRIES,Concrete test cubes including laboratory testing,No,65.0,0.0,0.0,,,ASAQS SSM7 / DQRules
7.4.2,"BILL 7 - CONCRETE, FORMWORK & REINFORCEMENT",7.4 SUNDRIES,"Isolation joints, 10mm wide, to perimeter of surface beds and around columns",m,130.0,0.0,0.0,,,ASAQS SSM7 / DQRules
7.4.3,"BILL 7 - CONCRETE, FORMWORK & REINFORCEMENT",7.4 SUNDRIES,"Sawcut joints to surface beds, 3mm wide",m,85.0,0.0,0.0,,,ASAQS SSM7 / DQRules
10.1.1,BILL 10 - MASONRY,10.1 BLOCKWORK,"Corobrik Breeze Block walling, 14MPa, 230mm thick, in cement mortar Class II, to external walls",m2,38.0,0.0,0.0,,,ASAQS SSM7 / DQRules
10.1.2,BILL 10 - MASONRY,10.1 BLOCKWORK,"Concrete block walling, 7MPa, 230mm thick, in cement mortar Class II, to internal walls",m2,82.0,0.0,0.0,Verified from ground plan +6,,ASAQS SSM7 / DQRules
10.2.1,BILL 10 - MASONRY,10.2 FAIR FACE,Extra over blockwork for fair face finish (Platinum Satin),m2,38.0,0.0,0.0,,,ASAQS SSM7 / DQRules
10.3.1,BILL 10 - MASONRY,10.3 BEAM FILLING,Filling to underside of ring beams with blockwork,m2,24.0,0.0,0.0,,,ASAQS SSM7 / DQRules
10.4.1,BILL 10 - MASONRY,10.4 DAMP PROOF COURSE,"Malthoid DPC, 230mm wide, under walls",m,62.0,0.0,0.0,,,ASAQS SSM7 / DQRules
